Site ID,Sampling Date,Location,Latitude,Longitude,Salinity-refractometer (ppt),Venice Class,Temperature (°C),pH,pH (mV),Oxidation Reduction Potential (mV),Conductivity (mS/cm),Turbidity (NTU),Dissolved Oxygen (mg/L),Total Dissolved Solids (g/L),Salinity-probe (ppt),Seawater Specific Gravity (σt),Grain Mean Size,Size Description,Grain Sorting,Sorting Description,Grain Skewness,Skewness Description,Grain Kurtosis,Kurtosis Description,% Organic Composition
Miami_01,2025-01-31,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7
Miami_02,2025-01-31,mangroves,25.535833,-80.324722,30,euhaline,22.86,7.77,-71,195,23.7,49.7,4.84,14.7,14.34,8.5,-0.266,very-coarse,0.494,well,2.174,very-fine,1.845,very-leptokurtic,5.8
Miami_03,2025-01-31,"stream near dam freshwater side; grassy, shaded",25.543611,-80.331389,1,oligohaline,22.21,7.95,-81,148,0.248,269,5.98,0.161,0.12,0,-0.034,very-coarse,0.675,moderately-well,1.695,very-fine,-12.489,very-platykurtic,7.0
Miami_04,2025-01-31,under bridge,25.542222,-80.33,22,polyhaline,22.51,7.57,-59,219,19.2,79.6,4.96,11.9,11.37,6.4,-0.138,very-coarse,0.540,moderately-well,1.915,very-fine,-2.840,very-platykurtic,1.9
Miami_05,2025-02-02,sandy beach,25.461111,-80.336389,30,euhaline,25.89,7.88,-77,80,24.5,185,5.27,15.2,14.85,8.1,1.274,medium ,1.161,poorly,-0.090,symmetrical,1.152,leptokurtic,2.2
Miami_06,2025-02-02,Under bridge,25.471111,-80.379722,2,oligohaline,25.59,8,-85,224,0.771,60.3,5.63,0.493,0.38,0,-0.085,very-coarse,0.572,moderately-well,1.793,very-fine,-1.577,very-platykurtic,0.9
Miami_07,2025-02-02,"stream near dam marine side; grassy, rocky",25.47,-80.345833,7,mesohaline,26.05,7.43,-51,134,12.1,173,4.79,7.48,6.89,2.1,-0.594,very-coarse,0.032,very-well,0.846,very-fine,-1.066,very-platykurtic,0.9
Miami_08,2025-02-02,beach,25.47,-80.340556,18,polyhaline,26.71,7.58,-60,163,12.4,319,6.11,7.66,7.07,2.1,-0.574,very-coarse,-0.052,very-well,1.045,very-fine,-0.677,very-platykurtic,1.0
Miami_09,2025-02-02,"near dam freshwater side; grassy, rocky",25.47,-80.346944,1,oligohaline,26.74,7.81,-74,194,0.38,231,5.82,0.247,0.18,0,-0.554,very-coarse,0.095,very-well,0.706,very-fine,-1.189,very-platykurtic,2.1
Miami_10,2025-02-02,stream - no dam,25.727222,-80.269722,14,mesohaline,25.89,7.14,-34,199,11.6,104,7.07,7.19,6.61,2,0.668,coarse,1.187,poorly,0.771,very-fine,0.592,very-platykurtic,1.7
Miami_11,2025-02-02,"under bridge; deep, rocky canal",25.705833,-80.260556,30,euhaline,25.03,7.6,-61,144,22.6,20,4.86,14,13.64,7.4,0.209,coarse,0.87,moderately-well,1.522,very-fine-skewed,1.209,leptokurtic,1.7
Miami_12,2025-02-02,"by bridge; sandy, grassy",25.734722,-80.274444,3,oligohaline,27.05,11.62,-301,-52,5.39,22.5,5.3,3.4,2.9,0,1.485,medium ,1.148,poorly,-0.167,coarse-skewed,1.292,leptokurtic,2.7
Miami_13,2025-02-02,stream - no dam; concrete,25.738611,-80.286944,1.5,oligohaline,23.35,12.18,-330,-53,0.262,10,7.69,0.17,0.12,0,1.022,medium ,0.826,moderately-well,-0.27,coarse-skewed,1.013,mesokurtic,3.1
